Name: Music | Type: directory | Size: 192 bytes | ModTime: Apr  9 19:11  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: C++ | Type: directory | Size: 128 bytes | ModTime: May 11 09:05  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: temp | Type: directory | Size: 384 bytes | ModTime: May  9 15:32  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: eclipse | Type: directory | Size: 160 bytes | ModTime: Mar  8 09:55  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: Python | Type: directory | Size: 320 bytes | ModTime: May 18 11:54  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: JavaWorkspace3_1 | Type: directory | Size: 384 bytes | ModTime: Apr 19 11:16  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: PerfectC | Type: directory | Size: 352 bytes | ModTime: May 12 20:08  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: Pictures | Type: directory | Size: 256 bytes | ModTime: Apr  9 19:11  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: git-test | Type: directory | Size: 128 bytes | ModTime: Feb  8 20:08  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: Java_eclipse | Type: directory | Size: 128 bytes | ModTime: Mar 15 10:03  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: Desktop | Type: directory | Size: 736 bytes | ModTime: May 25 00:08  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: Library | Type: directory | Size: 3072 bytes | ModTime: May 23 15:53  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: JavaInCoderun | Type: directory | Size: 128 bytes | ModTime: Dec 19 18:40  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: algorithm | Type: directory | Size: 896 bytes | ModTime: May 22 20:39  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: Parallels | Type: directory | Size: 160 bytes | ModTime: Apr 24 18:20  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: NetworkProgramming | Type: directory | Size: 544 bytes | ModTime: May 25 09:23  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: Spring_test | Type: directory | Size: 160 bytes | ModTime: Feb 21 18:24  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: SystemProgramming | Type: directory | Size: 736 bytes | ModTime: May 25 14:16  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: Public | Type: directory | Size: 128 bytes | ModTime: Jul 11 14:34  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: GitHub | Type: directory | Size: 384 bytes | ModTime: May 26 11:25  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: sourcetree | Type: directory | Size: 96 bytes | ModTime: Jan 19 01:52  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: emptydir | Type: directory | Size: 64 bytes | ModTime: May 12 20:07  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
Name: Applications (Parallels) | Type: directory | Size: 160 bytes | ModTime: May 26 03:24  | CurDir: /Users/cmk  | Path: /Users/cmk | Memory: 71
